             Comp.1       Comp.2      Comp.3        Comp.4       Comp.5
 [21,] -1.088387057  1.404141501 -0.686657693  0.230020120  0.577603989
 [22,] -0.589607730 -0.007671364 -0.409237960 -0.206128446  0.506009997
 [23,]  0.539132234  0.220736447  0.068142097 -0.870985770  0.035998759
 [24,] -0.547199661  0.725360622 -0.334376898  0.137263867  0.180914898
 [25,]  0.752238376 -0.489449160  0.008223911 -0.201161446  0.067177303
 [26,] -0.340377798  1.033521440  0.290050640  0.341291621 -0.698920318
 [27,] -0.764426382 -0.039007926 -0.407039035 -0.395317047  0.794360830
            Comp.22       Comp.23     Comp.24      Comp.25       Comp.26
  [1,] -0.060290802 -0.4180901815 -1.56735813  0.055912910  0.5883953508
  [2,] -0.267084058  0.3793681441  0.02752097  0.396895976 -0.5393223842
  [3,]  0.279219938 -0.1422508007  0.03128869  0.268843485  0.3058829338
  [4,] -0.087803115 -0.8244039303 -0.67019866 -0.698648268  0.8884811943
  [5,] -0.117437854 -0.7289660476 -0.29134904  0.029933246 -0.3900223154
  [6,] -0.139218422 -0.5022676560  0.96570039 -0.824248610 -0.0885571978
  [7,] -0.154068468 -0.7086643888  0.52087820  0.034201994  0.0910276169
  [8,]  1.020055587  0.3479663880 -1.00845992 -0.212248798 -0.0968514686
  [9,]  0.320196958 -0.0049560300  0.28401887  0.227481490  0.1561855391
 [10,] -1.127308700  0.3925759049  0.01945343 -0.776690431  0.2512720427
 [11,]  1.224601358 -0.1513869693 -0.80233619 -0.012270112 -0.2121924121
 [12,] -1.229229748 -0.0875701422 -0.41323154  0.070709409 -0.3467850194
 [13,] -0.936115314  0.6317261364 -0.01716523 -0.554609577 -1.1958535583
 [14,] -0.411131441 -0.4094527494 -0.56116205 -0.046582690 -0.4160599760
 [15,] -0.267084058  0.3793681441  0.02752097  0.396895976 -0.5393223842
 [16,] -0.710917398 -1.2174849974  0.38867831  0.570057343  0.3259288797
 [17,] -0.004396822 -1.1727859567  0.49043368  1.022721820  0.1355437381
 [18,] -2.047712397 -0.3000257846 -0.62056869 -1.456981270 -0.4911258658
 [19,]  0.448829567 -0.0840555598  0.37688430  0.243228728 -0.5845715382
 [20,]  0.550476083  0.6364030640 -0.69203778  0.695895523 -0.3230530208
 [21,] -0.205519963  0.2978691318 -1.54788436 -0.061130325 -0.4962102861
 [22,] -0.070869958 -0.2231901601  0.05334696 -0.190941299  0.4192303835
 [23,]  0.176424645 -0.0907735186 -0.53227662 -0.754339292  0.4638112466
 [24,]  1.020055587  0.3479663880 -1.00845992 -0.212248798 -0.0968514686
 [25,]  0.234551641  0.2837849483  0.23151576 -0.274841741  0.1098881280
 [26,] -0.529591251 -0.3339500632 -0.66383667 -0.357533338  0.0007077834
 [27,] -0.312860161  0.3282934227 -0.06157205 -0.522346269  0.5772649768
            Comp.27      Comp.28     Comp.29      Comp.30     Comp.31      Comp.32
  [1,] -0.176281766 -0.632561871 -0.07502318 -0.522619150  0.47074146 -0.192665185
  [2,] -0.601782100 -0.109854847 -0.20810445  0.262288461  0.03391734  0.113512769
  [3,] -0.164959324  0.052317954 -0.22296691  0.023569733  0.03005915  0.235895145
  [4,]  0.562967940  0.003623944  0.62142066  0.522150875 -0.39995181 -0.252214098
  [5,] -0.139513565 -0.387038358  0.44045678 -0.008302460 -0.68184579 -0.244570851
  [6,]  0.206897389 -0.202662175  0.03890225 -0.319507876 -0.04508890 -0.022205152
  [7,]  0.121443702  0.283627408 -0.44374880  0.433406151  0.03988298 -0.333213363
  [8,] -0.400024469 -0.431705941  0.20762240 -0.014396088  0.41642475 -0.282437479
  [9,]  0.231188908  0.125754423 -0.27909776  0.107624519  0.06332389  0.477047575
 [10,]  0.461319931 -0.464147747 -0.67671401 -0.085948551  0.07232997  0.003349315
 [11,]  0.485815049 -0.201766518  0.04151126  0.551657517  0.11459127  0.654620540
 [12,] -0.222787491 -0.177653755  0.55684600 -0.540491710 -0.03629854  0.335604822
 [13,]  0.062429013 -0.152741849  0.13390484 -0.169115700  0.23477207  0.430439297
 [14,] -0.378259149 -0.478111708  0.03163395 -0.053365392  0.31021985 -0.372818005
 [15,] -0.601782100 -0.109854847 -0.20810445  0.262288461  0.03391734  0.113512769
 [16,]  0.586975674  0.030134067 -0.01938368  0.293429052 -0.14707269 -0.141181356
 [17,]  0.079922854 -0.186651675  0.24496056  0.319950525 -0.17937204 -0.003697496
 [18,]  0.579183782  0.597407612  0.83494964 -0.391097394  0.04565982  1.302870846
 [19,] -0.317435085  0.258084412  0.15698289  0.042936193 -0.35126446 -0.049331794
 [20,] -0.027710383 -0.430646477  0.00111467 -0.204950800 -0.57931405 -0.529285030
 [21,] -0.926094942  0.493473863 -0.09438862 -1.024027823  0.37527571  0.255199798
 [22,]  0.374296699  0.628771719 -0.27829708 -0.649035835  0.14278303 -0.455433067
 [23,] -0.292945774 -0.300110147 -0.02148710  0.063207452 -0.49666674 -0.331949347
 [24,] -0.400024469 -0.431705941  0.20762240 -0.014396088  0.41642475 -0.282437479
 [25,] -0.404370410  0.659314665 -0.02007522  0.410160140  0.63616955  0.231196703
 [26,]  0.083701343 -0.471362975 -0.11432262  0.652696489  0.40932361 -0.167435674
 [27,]  0.106685337  0.457304471  0.40872471  0.282396335 -0.34514411  0.113970119
             Comp.33      Comp.34      Comp.35      Comp.36
  [1,]  0.3477294143 -0.001869595 -0.176601253  0.057957263
  [2,] -0.2336978423  0.120538786 -0.262980816  0.048139236
  [3,] -0.0019183052  0.035822221  0.007909701 -0.042512556
  [4,]  0.2851865686 -0.034227875  0.021358807 -0.423591461
  [5,]  0.1518643138  0.223197799  0.343167709 -0.369993227
  [6,]  0.1018339541 -0.273565662 -0.209334133  0.244436729
  [7,] -0.2218534156 -0.006156626 -0.515182049  0.549346721
  [8,] -0.0414882863  0.084123649  0.019957711  0.001701625
  [9,]  0.0429556725  0.453412984  0.060125768  0.294466738
 [10,] -0.1721456772 -0.134782242  0.709352378 -0.280878537
 [11,]  0.8600996810 -0.081607969  0.394954532 -0.060363244
 [12,]  0.1222020977  0.080382749  0.587239350 -0.097835958
