             Comp.1       Comp.2        Comp.3        Comp.4       Comp.5
 [26,] -0.452111211  0.561199288 -0.2989773457  0.0246125631  0.009010991
 [27,]  1.338220931 -4.534239884 -0.1121036214  0.7720148341  1.246912197
             Comp.6       Comp.7      Comp.8       Comp.9      Comp.10
  [1,]  1.205915552 -0.391137998  0.15082582 -0.853263437 -0.261624884
  [2,]  0.423681259 -0.555881805 -1.52501323 -0.865024888 -0.026032757
  [3,] -1.205597072 -0.139617848  1.53820110 -0.245371886 -0.369917796
  [4,] -0.729478029 -1.375128946  0.80717487  0.727883091 -0.580894222
  [5,]  0.713720774 -0.337390406  1.01212407  0.722801330  0.080700360
  [6,]  0.514300188  1.143906207  0.95398358 -1.578605970  0.534260316
  [7,]  1.172283352  0.542028246  0.93367546  0.116151041 -0.152014920
  [8,] -1.177703283 -1.791573567 -0.28709268 -0.810085938 -0.693038916
  [9,] -0.619869801 -0.328411268  0.46618090 -0.513127378  0.298823178
 [10,]  0.741485640 -0.487200227 -0.94288854 -1.410821739  0.840029138
 [11,] -0.058613592 -1.087322377 -0.07125874  0.164022908  0.487182035
 [12,] -2.232088944  1.435665164  1.28908320  0.417888686 -0.059339336
 [13,] -0.791421199  1.788634106 -0.10306949  0.625340246  1.115144448
 [14,]  0.946127058 -2.188388396  0.46468755  1.843133870 -0.294198506
 [15,]  0.423681259 -0.555881805 -1.52501323 -0.865024888 -0.026032757
 [16,] -0.585985419  0.809170471 -0.08607445 -0.195380132 -0.331079699
 [17,] -1.356722503 -2.051055122  0.72967040 -0.777053938  0.144747725
 [18,] -1.039494470 -1.923572855  0.41194124 -0.394990570  0.335204657
 [19,] -0.158577324 -1.247088960  0.38369469 -0.030333658  0.269255423
 [20,] -1.633363086 -0.463057092 -0.61282846  0.514632866  0.209400959
 [21,] -0.432852344 -1.537948850  1.33153088  2.365819478 -2.353203286
 [22,] -0.960360779 -0.816972318 -1.21727834 -0.541993729 -0.679040579
 [23,]  0.486669202  0.185386344 -1.06995464 -0.298103080  1.002403806
 [24,] -1.177703283 -1.791573567 -0.28709268 -0.810085938 -0.693038916
 [25,] -0.092335121  0.215764211 -0.04867491  0.095286667 -0.608162752
 [26,] -0.119427552 -0.478400666  0.34730943  0.200589110  0.218288578
 [27,]  1.036384601  2.077220269  0.83491718 -0.310513297 -0.121713299
            Comp.11      Comp.12      Comp.13      Comp.14     Comp.15
  [1,] -1.047393545 -0.434323907 -0.574935293 -0.932607044 -0.03467958
  [2,]  0.126266030 -0.067638051 -0.026837934 -0.588267100 -0.25056579
  [3,] -0.323427955  0.132829216 -0.261800094 -0.428660962 -0.51760177
  [4,] -0.608360717  0.724686837  0.115485411 -0.203842603  1.55291498
  [5,]  0.375128198 -1.359640972 -1.180184803  0.682388796  0.69145147
  [6,] -0.060820420 -0.487867589  0.005228964  0.340216889 -0.17845417
  [7,]  0.229391876 -1.027637157 -0.364058849  0.247358295 -0.13500919
