              Comp.1       Comp.2       Comp.3       Comp.4      Comp.5
 [23,] -0.23461846  0.03082772  0.747076899  1.312154208  0.163816889 -0.683257887
 [24,]  0.87926849 -1.12180769  2.414780404  0.580973610 -0.822775099  1.415703152
 [25,]  0.17032755 -0.33034757  0.197876979 -0.763076647  1.070981670 -0.661980041
 [26,] -0.22631830 -0.03863118 -0.837391300  0.228066756 -0.555980102 -0.751071879
 [27,] -1.47568069  1.61316031  0.374334874 -0.216144542  0.676011601 -0.611773906
 [28,]  0.35954043 -0.16892875 -0.532891853  0.064215800 -0.251511945 -0.292707341
 [29,] -0.36313952 -0.59124484  0.393775815 -0.207570219  0.403655569 -0.520031162
 [30,]  0.79567015  1.65337160 -0.111797170 -0.084761480 -0.263783311  1.059666291
 [31,] -0.54588210 -0.17656841  0.294794021  0.817113004 -0.074089795  0.304085116
 [32,] -0.33549060 -0.73810466 -0.964839721 -0.614661680  0.163834582 -1.289431511
 [33,] -1.50152947 -0.09796082  0.579397077  1.126691965 -0.229882159  0.524429896
 [34,]  0.07373150  0.05884447 -0.084359318 -1.306833725 -0.426293906  0.449467173
 [35,]  0.81029425 -0.57788439 -1.332029680 -0.180575244  0.075878189  0.762075844
            Comp.12       Comp.13       Comp.14      Comp.15       Comp.16
  [1,] -1.024118220  0.0828632134 -0.1468306424 -0.176616235  0.3343420249
  [2,] -0.283579369 -0.7362041609  0.0561669584  1.062658636 -0.4451563278
  [3,] -0.312362520 -0.4980343765  0.9657862827  0.326248213  0.0354611793
  [4,]  1.119841300 -1.0230000623 -1.0319419665  0.493290221  0.6432387914
  [5,]  0.577316590  0.0032222454  0.1993177970  0.323974891  0.7002373162
  [6,] -0.067516836  1.0557792672 -0.3603223038 -0.708415841  0.4076472710
  [7,]  0.643478496  0.6566619748  0.6843598895  0.850013277  0.9467172329
  [8,] -0.606135796 -0.0426086176  0.7736265035  0.042133106  1.0660592756
  [9,] -0.510519138 -0.0528064836 -0.5657676964  0.316045988 -0.3349678747
 [10,]  0.217040142 -0.6319487976 -1.2415428349  0.066989682 -0.5495989864
 [11,] -1.099743895 -0.5553435681  0.2462099446  0.237350645  0.7060367750
 [12,] -0.661033005 -0.2894537751 -0.1981540645  0.354992855 -1.0652736900
 [13,] -0.761539825 -0.5477136836 -0.9404652662 -0.082749623 -1.1927843360
 [14,] -0.484407308 -0.1453379828 -1.2089188564  0.097544951 -0.6980976449
 [15,] -0.283579369 -0.7362041609  0.0561669584  1.062658636 -0.4451563278
 [16,] -0.423774530 -0.4821457028 -0.2524638064 -0.868552062  0.2037539095
 [17,] -1.276669963 -3.0742721513  0.7028728164 -0.792995736  0.7819229319
 [18,] -0.519991154 -1.0231880349  0.3420498670 -0.491365889 -1.8426163404
